carat,cut,color,clarity,depth,table,x,y,z,price
0.32,Premium,F,VVS2,61.8,60.0,4.41,4.36,2.71,1008
1.02,Good,F,VS1,57.9,59.0,6.64,6.59,3.83,7197
1.04,Premium,F,SI1,62.2,60.0,6.48,6.44,4.02,5300
1.5,Premium,F,SI2,62.4,58.0,7.31,7.24,4.54,7056
0.4,Ideal,H,VVS2,62.2,56.0,4.7,4.75,2.94,877
0.25,Ideal,G,VS2,61.4,57.0,4.08,4.1,2.51,459
1.25,Ideal,H,SI2,61.6,55.0,6.89,6.94,4.26,6030
1.91,Very Good,G,SI1,63.1,59.0,7.9,7.86,4.97,15241
0.31,Ideal,F,IF,61.2,57.0,4.35,4.38,2.67,1818
0.34,Premium,E,VS2,60.9,60.0,4.51,4.49,2.74,956
0.56,Very Good,G,VVS2,61.6,56.0,5.29,5.31,3.27,2010
0.3,Ideal,D,VVS2,61.7,57.0,4.3,4.32,2.66,1041
0.41,Premium,G,VVS1,61.0,61.0,4.75,4.72,2.89,1230
0.71,Good,G,VS2,58.9,61.0,5.81,5.84,3.43,2649
0.5,Ideal,I,VS2,61.9,56.0,5.08,5.13,3.16,1410
1.13,Premium,H,SI2,60.7,54.0,6.82,6.72,4.11,4873
0.34,Ideal,E,VVS1,62.2,56.0,4.45,4.49,2.78,1014
0.5,Ideal,D,VS1,60.6,57.0,5.15,5.18,3.13,2454
0.35,Ideal,D,SI1,62.3,55.0,4.51,4.54,2.82,644
0.3,Good,D,VVS1,63.3,61.0,4.21,4.23,2.67,825
0.75,Ideal,H,SI1,60.4,57.0,5.93,5.96,3.59,2801
0.5,Very Good,G,SI1,62.9,59.0,5.06,5.09,3.19,1197
1.09,Premium,H,VS2,61.4,58.0,6.64,6.58,4.06,5677
0.56,Ideal,G,VS2,61.2,56.0,5.33,5.29,3.25,1698
1.15,Premium,H,SI1,62.0,58.0,6.77,6.66,4.16,5506
1.01,Very Good,J,VS2,60.6,59.0,6.42,6.45,3.9,4337
1.5,Very Good,E,VS2,62.9,56.0,7.31,7.22,4.57,13892
0.4,Ideal,G,VS2,61.2,57.0,4.73,4.78,2.91,807
0.7,Ideal,F,VS1,62.4,56.0,5.67,5.65,3.53,3199
0.3,Ideal,D,VS2,61.8,55.0,4.35,4.32,2.68,778
0.59,Premium,E,VS2,60.1,59.0,5.46,5.42,3.27,2578
0.51,Very Good,G,VS2,62.4,57.0,5.09,5.11,3.18,1438
0.92,Good,D,SI2,60.3,61.0,6.29,6.38,3.82,3843
0.7,Fair,G,SI1,64.8,59.0,5.65,5.56,3.63,2016
1.73,Ideal,E,SI1,61.9,57.0,7.74,7.66,4.77,15842
0.7,Ideal,F,SI2,61.8,56.0,5.69,5.71,3.52,2171
0.51,Very Good,G,VVS2,62.9,57.0,5.06,5.12,3.2,1750
0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78,403
0.31,Ideal,G,IF,61.8,55.0,4.35,4.39,2.7,891
0.39,Ideal,G,VVS1,60.7,56.0,4.73,4.77,2.88,1359
0.73,Very Good,G,VS2,62.1,59.0,5.68,5.73,3.54,2966
1.26,Ideal,H,SI2,62.0,55.0,6.9,6.97,4.29,6239
0.52,Ideal,G,SI2,61.6,55.0,5.16,5.19,3.19,1090
0.55,Premium,E,VS2,61.4,57.0,5.29,5.27,3.24,1881
0.71,Premium,D,SI1,62.7,60.0,5.67,5.71,3.57,2797
0.34,Premium,E,VS2,61.9,58.0,4.43,4.45,2.75,745
0.7,Premium,J,VVS2,61.9,58.0,5.67,5.73,3.53,1843
0.36,Ideal,E,VVS2,61.0,55.0,4.6,4.62,2.81,1131
1.01,Good,J,SI1,62.8,58.0,6.28,6.33,3.96,3399
1.0,Ideal,G,SI1,62.7,56.0,6.36,6.39,4.0,4737
1.1,Ideal,G,VS2,60.2,56.0,6.7,6.74,4.05,6972
0.7,Premium,H,VS1,62.8,60.0,5.61,5.56,3.51,2367
0.95,Premium,F,SI2,58.4,57.0,6.49,6.41,3.77,2867
2.1,Ideal,I,SI2,61.9,56.0,8.22,8.2,5.08,15653
0.31,Premium,F,SI1,62.7,58.0,4.33,4.31,2.71,663
1.01,Ideal,G,VVS2,61.6,54.0,6.51,6.55,4.02,8662
0.34,Ideal,D,SI1,62.0,56.0,4.47,4.5,2.78,626
0.39,Very Good,G,VS2,63.3,57.0,4.65,4.61,2.93,1009
0.31,Very Good,F,VS2,62.8,57.0,4.34,4.36,2.73,625
0.4,Very Good,G,VS1,61.8,58.0,4.69,4.72,2.91,822
0.41,Very Good,F,VS2,62.8,58.0,4.69,4.73,2.96,863
1.53,Very Good,F,SI1,58.5,59.0,7.55,7.62,4.44,11713
0.33,Ideal,I,VS2,62.3,54.0,4.45,4.48,2.78,480
1.01,Very Good,F,SI2,63.4,54.0,6.42,6.39,4.06,4270
0.24,Good,E,VVS1,58.0,60.0,4.08,4.12,2.38,526
0.34,Ideal,H,VS2,62.2,56.0,4.53,4.48,2.8,689
0.52,Ideal,D,VVS2,60.4,57.0,5.25,5.28,3.18,2426
0.68,Very Good,E,SI1,58.2,60.0,5.75,5.79,3.36,1918
0.5,Ideal,H,VS1,61.1,56.0,5.1,5.14,3.13,1637
0.54,Very Good,E,SI1,60.2,58.0,5.23,5.37,3.19,1358
1.38,Premium,G,SI2,59.2,59.0,7.35,7.29,4.33,6779
0.36,Premium,E,VVS2,61.7,59.0,4.52,4.56,2.8,859
0.26,Very Good,F,VVS1,63.3,57.0,4.07,4.05,2.57,724
1.22,Ideal,G,VS2,60.1,57.0,6.96,7.01,4.2,9954
0.38,Premium,I,SI2,60.0,59.0,4.71,4.69,2.82,641
0.83,Premium,E,VS2,61.3,59.0,6.08,6.02,3.71,3625
0.61,Premium,F,VS2,59.6,61.0,5.58,5.5,3.3,2075
1.23,Ideal,G,VS2,62.4,57.0,6.88,6.83,4.28,8233
1.5,Ideal,G,VS2,60.7,54.0,7.41,7.48,4.53,13135
1.2,Good,F,VVS1,63.6,57.0,6.71,6.74,4.28,10982
0.71,Good,H,SI1,58.4,62.1,5.8,5.83,3.4,2282
0.54,Premium,F,SI1,63.0,57.0,5.23,5.18,3.28,1349
0.33,Ideal,H,IF,60.5,56.0,4.54,4.52,2.74,959
2.26,Very Good,H,SI2,63.3,59.0,8.35,8.26,5.25,13923
1.25,Ideal,F,VS1,62.0,55.0,6.95,6.91,4.3,9761
0.52,Ideal,G,SI1,62.2,54.0,5.18,5.2,3.23,1352
2.43,Premium,I,SI2,62.2,60.0,8.59,8.53,5.33,14727
1.91,Premium,I,SI1,63.0,59.0,7.91,7.87,4.97,13367
0.35,Ideal,D,VS2,62.5,55.0,4.55,4.5,2.83,1063
1.12,Premium,H,SI2,61.4,59.0,6.69,6.66,4.1,3889
1.01,Very Good,F,VS2,62.7,56.0,6.37,6.43,4.01,6159
0.52,Ideal,E,SI1,61.6,55.0,5.19,5.16,3.19,1577
1.56,Premium,D,SI2,61.1,56.0,7.54,7.45,4.58,8858
1.08,Ideal,G,VS2,61.8,55.0,6.57,6.63,4.08,6931
1.01,Very Good,F,SI2,59.5,57.0,6.61,6.66,3.95,3709
0.31,Ideal,D,VS2,61.9,56.0,4.38,4.34,2.7,942
0.92,Very Good,H,VS2,63.4,57.0,6.17,6.11,3.89,4173
0.33,Ideal,E,VS1,62.3,56.0,4.41,4.45,2.75,850
0.33,Premium,F,VS2,62.1,59.0,4.44,4.39,2.74,854
1.3,Premium,D,SI2,60.2,59.0,7.0,7.05,4.23,7002
0.74,Premium,I,VS1,62.9,57.0,5.79,5.76,3.63,2193
1.22,Very Good,F,VS2,62.3,57.0,6.8,6.84,4.25,8575
0.55,Ideal,F,VS1,60.3,57.0,5.32,5.37,3.23,1682
0.41,Premium,F,SI1,59.8,59.0,4.85,4.82,2.89,969
0.7,Good,I,VS1,63.2,55.0,5.58,5.63,3.54,2274
0.53,Ideal,D,VVS1,62.5,54.0,5.16,5.21,3.24,2905
0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,1698
0.26,Premium,F,VS1,59.5,58.0,4.18,4.22,2.5,452
0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49,337
0.4,Premium,H,VVS2,60.6,60.0,4.79,4.75,2.89,1125
0.71,Ideal,I,VS1,61.8,56.0,5.68,5.72,3.52,2965
0.7,Ideal,J,VS2,61.6,56.0,5.71,5.65,3.5,1940
1.5,Premium,F,VS2,62.0,53.0,7.37,7.33,4.56,13506
1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,4619
2.0,Premium,H,SI2,61.5,61.0,8.13,8.1,4.99,13134
0.9,Good,F,VS2,62.6,57.0,6.07,6.19,3.84,4466
0.3,Ideal,E,VVS1,62.8,54.0,4.27,4.3,2.69,838
0.72,Ideal,E,SI1,62.7,55.0,5.64,5.69,3.55,2886
2.11,Ideal,I,VS2,62.2,55.0,8.2,8.26,5.12,17712
1.29,Premium,I,VS2,62.2,57.0,7.01,6.97,4.35,6279
1.01,Premium,E,SI1,62.8,59.0,6.31,6.27,3.95,5599
0.58,Premium,E,SI1,61.6,59.0,5.38,5.33,3.3,1794
0.31,Premium,I,VS1,62.3,59.0,4.29,4.35,2.69,489
1.7,Premium,G,VVS2,61.5,60.0,7.64,7.59,4.68,17228
0.4,Premium,G,SI1,59.3,59.0,4.8,4.82,2.85,702
0.48,Premium,F,SI1,60.6,62.0,5.06,5.0,3.05,1110
0.7,Fair,F,VS1,65.8,59.0,5.58,5.48,3.64,2381
1.0,Premium,F,I1,62.4,59.0,6.38,6.34,3.97,3405
1.05,Ideal,G,SI2,62.2,54.0,6.52,6.56,4.07,4667
0.51,Very Good,H,VVS1,63.2,57.0,5.06,5.1,3.21,1744
0.38,Good,E,IF,59.1,58.0,4.74,4.77,2.81,1318
1.01,Good,F,SI1,64.2,58.0,6.31,6.33,4.06,4199
0.51,Premium,H,SI1,61.6,56.0,5.19,5.14,3.18,1250
1.03,Ideal,E,SI2,62.3,56.0,6.44,6.52,4.04,4758
1.08,Ideal,D,VS1,61.1,56.0,6.59,6.63,4.04,9545
0.4,Ideal,G,SI2,62.1,53.0,4.75,4.78,2.96,573
0.24,Very Good,E,VS1,59.8,58.0,4.02,4.11,2.43,419
1.52,Ideal,G,VVS1,62.4,55.0,7.3,7.39,4.58,15959
0.9,Very Good,G,SI1,63.0,57.0,6.13,6.19,3.88,3681
0.24,Very Good,E,VS2,61.5,58.0,4.02,4.05,2.48,419
0.35,Ideal,H,VS1,61.8,57.0,4.53,4.56,2.81,646
1.35,Premium,F,SI2,62.8,60.0,7.08,7.0,4.42,6804
0.31,Very Good,D,SI1,63.5,55.0,4.3,4.27,2.72,732
1.01,Premium,G,SI2,62.4,59.0,6.39,6.34,3.97,4327
1.28,Ideal,H,SI2,61.8,57.0,7.0,6.97,4.32,5676
1.0,Very Good,G,VVS2,62.1,59.0,6.34,6.45,3.97,7242
1.55,Ideal,H,VS1,62.0,57.0,7.37,7.43,4.59,13665
0.38,Ideal,E,SI1,59.4,61.0,4.72,4.74,2.81,660
1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,2856
1.0,Good,E,VS2,62.4,58.0,6.33,6.4,3.97,6248
0.34,Very Good,F,SI2,63.5,56.0,4.48,4.44,2.83,574
1.01,Premium,E,SI2,62.5,60.0,6.42,6.39,4.0,4434
0.7,Very Good,E,VVS1,61.9,58.0,5.6,5.67,3.49,4114
1.02,Premium,G,SI1,62.3,59.0,6.4,6.44,4.0,4633
0.42,Ideal,H,SI2,62.0,54.0,4.83,4.85,3.0,625
0.72,Ideal,I,VS1,60.7,57.0,5.78,5.81,3.51,2539
1.05,Premium,E,IF,59.0,58.0,6.7,6.66,3.94,11946
1.1,Ideal,G,VS2,60.9,56.0,6.68,6.79,4.1,6939
1.13,Premium,D,VS2,61.7,58.0,6.7,6.65,4.12,7751
1.07,Premium,D,SI1,61.8,61.0,6.57,6.54,4.05,5872
0.31,Ideal,D,VS2,61.2,55.0,4.36,4.46,2.7,734
0.72,Very Good,G,SI2,59.7,56.0,5.83,5.89,3.5,2050
0.51,Ideal,F,SI1,60.0,57.0,5.25,5.21,3.14,1406
0.6,Ideal,H,VS2,62.1,55.0,5.42,5.46,3.38,1442
1.7,Ideal,J,VS2,60.5,58.0,7.73,7.74,4.68,10002
0.37,Very Good,H,VS1,59.8,59.0,4.66,4.7,2.8,695
0.31,Ideal,F,IF,61.3,57.0,4.34,4.37,2.67,914
1.21,Ideal,F,I1,62.0,56.0,6.84,6.8,4.23,4377
0.35,Ideal,H,IF,61.7,56.0,4.53,4.55,2.8,921
0.35,Ideal,E,VVS1,61.8,56.0,4.5,4.53,2.79,905
1.7,Premium,H,SI2,59.8,61.0,7.67,7.62,4.57,8263
2.51,Good,I,SI2,63.7,61.0,8.51,8.48,5.41,14209
0.3,Good,G,SI1,63.2,55.0,4.26,4.29,2.7,417
0.58,Ideal,H,SI1,62.2,57.0,5.34,5.37,3.33,1255
0.52,Ideal,D,VS2,61.9,55.0,5.19,5.21,3.22,1802
0.31,Ideal,I,IF,62.0,54.0,4.38,4.4,2.72,635
0.25,Very Good,F,VVS2,61.6,57.0,4.05,4.08,2.5,633
1.51,Premium,E,I1,59.0,62.0,7.41,7.36,4.36,6494
0.32,Ideal,J,SI1,62.3,57.0,4.44,4.33,2.73,499
0.55,Ideal,I,VS1,62.5,57.0,5.19,5.25,3.26,1297
2.03,Premium,I,VS2,60.5,62.0,8.22,8.17,4.96,16483
1.0,Good,F,SI1,64.1,60.0,6.25,6.19,3.99,4586
0.34,Ideal,E,VS1,61.4,57.0,4.5,4.46,2.75,1033
1.01,Very Good,E,SI1,62.9,58.0,6.35,6.41,4.01,5499
1.52,Very Good,G,SI1,62.5,58.0,7.26,7.3,4.55,10150
1.51,Premium,H,SI1,61.2,60.0,7.46,7.37,4.54,10012
0.32,Ideal,E,VVS2,61.6,57.0,4.4,4.43,2.72,842
1.01,Fair,D,VS2,65.3,58.0,6.29,6.24,4.09,6366
0.9,Very Good,E,SI1,63.2,58.0,6.12,6.1,3.86,4560
0.41,Ideal,G,VS1,62.4,57.0,4.75,4.7,2.95,961
0.33,Ideal,E,VS2,59.3,58.0,4.53,4.51,2.68,681
0.41,Ideal,G,VVS1,61.8,55.0,4.78,4.76,2.95,1230
1.71,Premium,E,SI1,59.1,58.0,7.76,7.8,4.6,14882
0.6,Ideal,E,SI1,60.6,57.0,5.43,5.47,3.3,1613
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4234
0.71,Premium,E,VS2,61.3,59.0,5.7,5.76,3.51,2630
0.41,Premium,G,VS2,60.9,58.0,4.8,4.83,2.93,827
0.57,Ideal,G,SI1,60.5,57.0,5.4,5.37,3.26,1369
0.28,Ideal,F,IF,62.6,53.0,4.18,4.19,2.62,787
0.71,Ideal,F,VS1,62.0,57.0,5.7,5.75,3.55,3066
1.03,Ideal,G,SI2,61.7,55.0,6.48,6.52,4.01,4391
2.01,Premium,J,SI1,60.5,59.0,8.12,8.01,4.88,12690
1.04,Premium,E,SI1,62.2,56.0,6.56,6.49,4.06,5612
1.37,Ideal,G,VVS1,62.6,55.0,7.12,7.07,4.44,12455
1.2,Ideal,G,VS2,62.1,56.0,6.84,6.78,4.23,7741
0.31,Ideal,E,VS2,61.8,55.0,4.4,4.37,2.71,872
0.5,Premium,F,VS1,62.0,58.0,5.1,5.03,3.14,1838
1.01,Premium,D,VS1,62.4,58.0,6.41,6.38,3.99,8416
0.35,Good,D,SI1,57.7,60.0,4.69,4.64,2.69,739
1.52,Premium,G,I1,61.7,58.0,7.43,7.34,4.56,3820
1.71,Fair,I,SI2,65.1,60.0,7.5,7.46,4.87,8800
1.1,Very Good,D,SI2,61.1,58.0,6.61,6.69,4.06,5320
0.31,Premium,G,VS2,59.2,60.0,4.42,4.47,2.63,544
0.75,Ideal,G,VVS2,62.0,56.0,5.79,5.85,3.61,3740
0.7,Very Good,H,SI2,62.0,59.0,5.68,5.7,3.53,2135
1.01,Premium,H,SI2,61.9,60.0,6.43,6.4,3.97,4242
0.41,Ideal,F,VS2,61.5,56.0,4.79,4.83,2.96,1322
0.56,Ideal,G,VVS1,62.0,56.0,5.28,5.3,3.28,2202
1.32,Premium,I,SI2,58.4,60.0,7.24,7.15,4.2,5921
0.78,Premium,E,VS2,62.6,57.0,5.91,5.85,3.68,2970
0.58,Ideal,H,VS2,61.8,55.0,5.36,5.39,3.32,1876
1.05,Ideal,F,SI1,61.8,57.0,6.54,6.51,4.03,4816
1.0,Fair,D,VVS2,61.1,57.0,6.37,6.3,3.87,10562
0.34,Premium,D,VVS2,60.1,58.0,4.53,4.55,2.73,984
1.01,Ideal,D,SI2,61.6,57.0,6.42,6.46,3.97,4916
1.52,Very Good,G,SI2,60.9,57.0,7.44,7.5,4.55,8151
1.02,Very Good,F,VS1,62.8,58.0,6.4,6.44,4.03,7539
1.55,Premium,H,VS1,62.6,58.0,7.4,7.34,4.61,11562
0.7,Ideal,I,VS2,62.0,54.1,5.7,5.73,3.55,2240
1.01,Good,F,SI2,63.0,60.0,6.28,6.35,3.98,3827
0.32,Ideal,G,VVS1,61.2,55.0,4.41,4.44,2.71,814
0.71,Ideal,D,VS2,62.4,56.0,5.74,5.7,3.57,3372
0.89,Premium,H,SI2,62.2,59.0,6.17,6.15,3.83,2610
0.3,Very Good,G,VVS2,59.7,63.0,4.37,4.34,2.6,819
0.7,Ideal,H,VS2,62.6,54.0,5.7,5.73,3.58,2475
0.24,Very Good,F,VVS2,62.8,58.0,3.95,3.98,2.49,552
0.4,Very Good,E,SI1,61.4,58.0,4.77,4.81,2.94,687
0.4,Ideal,I,SI1,62.3,55.0,4.72,4.75,2.95,624
0.41,Ideal,I,IF,62.6,57.0,4.78,4.74,2.98,1076
0.31,Ideal,E,SI1,62.7,57.0,4.32,4.29,2.7,698
0.31,Ideal,H,VS2,61.2,56.0,4.35,4.37,2.67,507
0.36,Ideal,G,VS2,60.6,56.0,4.62,4.67,2.81,664
0.43,Very Good,H,VS2,61.9,55.0,4.8,4.95,3.02,792
0.53,Ideal,G,VVS2,61.7,56.0,5.2,5.23,3.22,1948
0.42,Ideal,E,VS1,61.7,57.0,4.78,4.81,2.96,1014
0.31,Ideal,F,VS1,61.2,57.0,4.36,4.39,2.68,695
0.23,Ideal,F,VVS2,61.6,54.0,3.97,3.99,2.45,650
1.5,Good,G,SI1,64.2,58.0,7.14,7.2,4.6,10428
0.3,Ideal,E,VVS1,61.2,57.0,4.33,4.36,2.66,895
0.33,Ideal,E,VVS2,61.6,55.0,4.43,4.47,2.74,917
0.52,Ideal,G,VS2,61.9,55.0,5.15,5.18,3.2,1549
0.52,Very Good,H,VVS1,63.9,59.0,5.08,5.1,3.25,1664
0.62,Premium,F,SI1,61.7,59.0,5.51,5.48,3.39,1595
0.37,Ideal,F,VS1,61.1,57.0,4.65,4.61,2.83,1041
0.53,Ideal,F,VS2,61.8,55.0,5.23,5.19,3.22,1753
0.9,Fair,F,SI2,64.6,56.0,6.01,6.07,3.9,3613
1.01,Very Good,G,VS1,60.5,60.0,6.44,6.52,3.92,6239
1.02,Very Good,G,VS1,62.4,58.0,6.37,6.42,3.99,6622
0.93,Very Good,G,SI2,60.8,62.0,6.29,6.34,3.84,3644
1.08,Ideal,E,SI1,61.5,55.0,6.59,6.62,4.06,7672
1.5,Premium,E,SI2,61.0,58.0,7.35,7.3,4.47,9450
0.85,Ideal,G,VS1,61.8,55.0,6.09,6.11,3.77,4373
0.71,Very Good,E,SI1,62.9,55.0,5.64,5.68,3.56,2964
1.52,Fair,J,VS1,65.4,58.0,7.22,7.17,4.7,7186
0.45,Very Good,F,SI2,61.5,61.0,4.9,4.95,3.03,729
0.7,Very Good,H,SI1,60.9,59.0,5.72,5.75,3.49,2273
0.44,Premium,F,VS1,61.2,61.0,4.88,4.83,2.97,1155
0.96,Fair,J,SI1,67.3,56.0,6.06,6.01,4.06,2517
1.12,Ideal,F,VS1,61.8,56.0,6.67,6.69,4.13,9007
0.46,Fair,I,VS1,65.6,57.0,4.85,4.82,3.17,972
1.27,Premium,I,VS2,62.6,59.0,6.95,6.86,4.32,6116
0.3,Ideal,D,VS2,62.5,55.0,4.3,4.31,2.69,710
1.01,Premium,H,VS2,59.1,58.0,6.58,6.59,3.89,5166
1.55,Ideal,G,SI2,60.5,60.0,7.46,7.49,4.52,8981
0.33,Ideal,F,IF,61.5,55.0,4.47,4.44,2.74,1114
0.34,Ideal,E,VVS1,62.2,54.0,4.52,4.55,2.82,973
1.54,Good,E,I1,63.3,60.0,7.26,7.3,4.61,6261
1.25,Good,F,SI2,59.0,61.0,7.01,7.06,4.15,6032
0.71,Very Good,D,VS1,58.1,62.0,5.84,5.89,3.41,3145
1.74,Premium,I,VS1,62.5,57.0,7.71,7.67,4.81,13037
0.35,Premium,E,VS2,60.7,60.0,4.58,4.55,2.77,984
1.01,Very Good,I,SI1,64.2,55.0,6.28,6.34,4.05,4475
0.53,Premium,D,SI1,60.0,58.0,5.29,5.24,3.16,1753
0.74,Ideal,G,VS1,61.5,56.0,5.79,5.82,3.57,3572
1.04,Ideal,F,VS2,62.1,57.0,6.48,6.53,4.04,6692
2.21,Premium,H,SI2,62.9,60.0,8.27,8.23,5.19,13369
0.81,Premium,G,VS2,61.2,60.0,6.0,5.99,3.67,3084
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,530
0.31,Ideal,H,VVS2,62.8,57.0,4.33,4.3,2.71,802
0.8,Very Good,I,VS2,62.0,58.0,5.86,5.95,3.66,2833
0.32,Ideal,E,VS2,62.1,55.0,4.39,4.43,2.74,702
0.53,Ideal,G,IF,62.1,57.0,5.16,5.21,3.22,2372
2.03,Ideal,J,SI2,63.2,55.0,7.99,8.03,5.06,11951
1.21,Premium,H,VS2,61.0,58.0,6.9,6.83,4.19,7142
0.39,Ideal,F,VS2,60.0,57.0,4.7,4.76,2.84,821
0.53,Ideal,G,IF,60.6,56.0,5.27,5.33,3.21,2293
2.35,Premium,H,SI2,62.3,58.0,8.51,8.44,5.28,16340
0.44,Ideal,D,VS1,61.6,56.0,4.92,4.85,3.01,1294
0.54,Ideal,G,VS1,60.7,57.0,5.29,5.26,3.2,2274
0.32,Ideal,F,VS1,61.3,55.0,4.4,4.44,2.71,725
0.7,Very Good,H,SI2,63.8,59.0,5.6,5.63,3.58,1807
1.02,Ideal,F,VS2,62.3,56.0,6.39,6.54,4.0,7175
0.7,Ideal,I,VVS1,62.3,55.0,5.7,5.64,3.53,2536
1.03,Ideal,I,VS1,61.3,53.0,6.54,6.57,4.01,5181
0.28,Good,E,IF,64.6,58.0,4.09,4.12,2.65,612
0.4,Very Good,D,VVS2,58.4,60.0,4.81,4.84,2.82,977
0.31,Ideal,D,SI1,62.3,55.0,4.33,4.34,2.7,541
0.44,Ideal,D,VS1,62.3,55.0,4.85,4.88,3.03,1235
1.22,Premium,J,SI2,62.1,59.0,6.82,6.77,4.22,4509
0.41,Ideal,I,VVS2,60.7,57.0,4.81,4.84,2.93,894
0.34,Ideal,H,VS1,62.3,55.0,4.48,4.45,2.78,765
1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4395
0.72,Ideal,D,VS1,61.6,56.0,5.73,5.8,3.55,3522
0.73,Very Good,I,VVS2,62.3,58.0,5.75,5.78,3.59,2565
0.55,Ideal,E,VS2,61.4,56.0,5.26,5.32,3.25,1667
1.01,Premium,F,IF,62.3,57.0,6.5,6.35,4.0,9627
0.52,Ideal,G,VVS1,62.1,56.0,5.15,5.17,3.2,1829
0.33,Ideal,G,SI2,62.9,55.0,4.46,4.41,2.79,557
0.71,Good,E,SI2,57.5,58.0,5.91,5.89,3.39,1783
0.55,Ideal,F,VS2,62.7,55.0,5.26,5.24,3.29,1698
0.5,Ideal,D,VS2,61.1,57.0,5.11,5.13,3.13,2243
0.26,Very Good,F,VVS2,61.4,56.0,4.14,4.17,2.55,657
2.31,Premium,J,SI1,61.1,60.0,8.58,8.51,5.22,15323
1.14,Premium,F,SI1,61.1,59.0,6.7,6.75,4.11,5925
1.04,Very Good,G,VVS1,58.2,60.0,6.66,6.71,3.89,6766
0.71,Ideal,I,VS1,61.6,54.7,5.71,5.85,3.54,2397
1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,5966
0.5,Premium,G,VVS1,61.0,60.0,5.08,5.12,3.11,1966
1.18,Very Good,D,SI1,61.7,57.0,6.8,6.84,4.21,7093
0.4,Premium,D,VS1,59.2,59.0,4.79,4.81,2.84,1123
0.9,Fair,E,VVS2,58.1,59.0,6.21,6.26,3.62,5551
1.51,Ideal,H,VS2,61.4,58.0,7.36,7.42,4.54,10861
1.51,Good,I,SI1,63.7,61.0,7.11,7.15,4.54,8097
0.8,Good,E,SI2,63.7,54.0,5.91,5.87,3.75,2829
1.26,Very Good,I,VS1,61.8,61.0,6.9,6.95,4.28,6566
0.53,Ideal,F,VS2,62.3,55.0,5.2,5.17,3.23,1683
0.71,Very Good,F,SI2,61.4,56.0,5.71,5.73,3.51,3075
0.34,Ideal,H,SI1,62.6,56.0,4.46,4.48,2.8,490
1.13,Ideal,G,SI2,60.8,56.0,6.64,6.72,4.06,4707
0.5,Ideal,E,SI1,61.8,56.0,5.11,5.07,3.14,1617
0.38,Ideal,F,IF,62.2,55.0,4.64,4.66,2.89,1333
0.33,Ideal,G,VS1,62.1,54.0,4.47,4.42,2.76,854
0.43,Ideal,H,IF,61.9,55.0,4.87,4.89,3.02,1151
0.33,Very Good,G,VVS2,60.0,63.0,4.45,4.49,2.68,752
2.0,Good,I,VS2,63.5,59.0,7.93,7.98,5.05,14889
0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,1581
0.91,Good,E,SI1,63.6,57.0,6.13,6.1,3.89,4611
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,776
0.41,Ideal,E,VS1,61.4,55.0,4.84,4.8,2.96,1076
1.01,Premium,H,SI1,62.8,58.0,6.38,6.36,4.0,4642
1.26,Premium,H,SI2,60.9,57.0,7.03,6.96,4.26,5434
0.81,Premium,G,VS2,61.4,60.0,6.02,5.99,3.69,3193
1.03,Premium,J,I1,62.8,55.0,6.43,6.41,4.03,2392
0.6,Good,G,VS1,60.1,61.0,5.44,5.5,3.29,1757
0.9,Very Good,F,VS2,59.6,59.0,6.27,6.31,3.75,4397
0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,731
0.9,Ideal,F,SI2,62.6,57.0,6.2,6.13,3.86,3704
0.5,Premium,E,SI2,60.3,60.0,5.11,5.07,3.07,1286
0.9,Very Good,D,VS2,63.5,61.0,6.16,6.09,3.89,4521
1.0,Good,G,VS2,59.9,57.0,6.45,6.51,3.88,5667
0.41,Very Good,G,VVS2,61.6,56.0,4.76,4.78,2.94,1007
0.42,Ideal,G,VS1,61.2,54.0,4.82,4.86,2.96,921
0.61,Ideal,D,SI2,59.9,57.0,5.55,5.53,3.32,1690
1.52,Premium,J,VS1,61.2,59.0,7.39,7.36,4.51,8366
0.76,Ideal,I,VS2,61.8,58.0,5.84,5.87,3.62,2551
0.43,Premium,F,VS1,59.9,58.0,4.93,4.89,2.94,1129
0.55,Ideal,F,VS2,61.7,57.0,5.29,5.24,3.25,1819
0.81,Ideal,E,VS2,62.0,55.0,5.99,5.97,3.71,3538
0.32,Ideal,I,VS2,63.0,56.0,4.42,4.38,2.77,576
2.08,Very Good,J,VS2,60.6,61.0,8.24,8.34,5.02,13732
0.33,Ideal,G,VVS1,61.7,54.0,4.48,4.47,2.76,1114
1.01,Premium,E,VS2,62.2,58.0,6.41,6.36,3.97,6968
1.01,Very Good,F,SI1,62.7,57.0,6.32,6.38,3.98,5174
